priority,wave,status,jobId,modelId,variant,category,family,variantSubject,purpose,targetPolygons,referenceImage,canonicalIncoming,canonicalProcessed,donorOwns,engineOwns,expectedProceduralReplacements,acceptanceFocus,meshyPrompt
0,C0,accepted,M001-A,M001,A,natural,Low cover boulder cluster,rounded layered cluster,Compact two-to-four-stone mass that clearly supplies half cover without sprawling across a route.,400,reference-images/M001-A-low-cover-boulder-cluster-v1.png,incoming/M001-A-low-cover-boulder-cluster-remesh-400.glb,processed/M001-A-low-cover-boulder-cluster-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the rounded layered cluster","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy low cover boulder cluster donor for Genesis. Variant: rounded layered cluster. Functional purpose: Compact two-to-four-stone mass that clearly supplies half cover without sprawling across a route. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the rounded layered cluster. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
0,C0,accepted,M019-A,M019,A,mechanism,Universal four-wheel wagon chassis,low standard chassis,"Narrow reusable platform with separate wheels, axles, tongue, bed, and attachment sockets for cargo, sides, canopy, lights, and repair states.",1800,reference-images/M019-A-universal-four-wheel-wagon-chassis-v2.png,incoming/M019-A-universal-four-wheel-wagon-chassis-original.glb,processed/M019-A-wagon-chassis-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the low standard chassis","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy universal four-wheel wagon chassis donor for Genesis. Variant: low standard chassis. Functional purpose: Narrow reusable platform with separate wheels, axles, tongue, bed, and attachment sockets for cargo, sides, canopy, lights, and repair states. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the low standard chassis. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
0,C0,accepted,M035-A,M035,A,shelter,Ridge tent,short household ridge,Ordinary household or expedition shelter with a clear roof line and removable front treatment.,800,reference-images/M035-A-short-household-ridge-tent-v1.png,incoming/M035-A-short-household-ridge-tent-smart-800.glb,processed/M035-A-short-household-ridge-tent-clean-v1.glb,"the primary shelter silhouette, broad cloth or service masses, large supports, threshold, and genuinely useful removable treatment; for this row, specifically the short household ridge","exact tactical footprint, collision, stakes, guy lines, sockets, materials, cultural markings, furniture, contents, light, and state","simple poles, stakes, ropes, fasteners, floor panels, and other standardized supports",broad planes survive without dense wrinkles; thresholds remain real; no floor or platform appears unless the row explicitly requires one,"Create exactly one low-poly medieval-fantasy ridge tent donor for Genesis. Variant: short household ridge. Functional purpose: Ordinary household or expedition shelter with a clear roof line and removable front treatment. Match the supplied reference image exactly and preserve the primary shelter silhouette, broad cloth or service masses, large supports, threshold, and genuinely useful removable treatment; for this row, specifically the short household ridge. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact tactical footprint, collision, stakes, guy lines, sockets, materials, cultural markings, furniture, contents, light, and state. Exactly one coherent object or intentionally fused cluster."
0,C0,accepted,M059-A,M059,A,defensive,Forge hearth and blower assembly,compact field forge,"Major working prop with warm-light socket, fuel area, hood, bellows connection, and tool sockets.",1200,reference-images/M059-A-compact-field-forge-v1.png,incoming/M059-A-compact-field-forge-smart-1200.glb,processed/M059-A-compact-field-forge-clean-v1.glb,"the main defensive or industrial silhouette, thick frame, major barrier or working volumes, and large separable fittings; for this row, specifically the compact field forge","exact collision and cover, hinges, force state, fuel, light, materials, tools, damage, sockets, and interaction authority","rope, chain, spikes, bars, wheels, flame, tools, fuel, and standardized repeated fittings when generated poorly",the tactical blocker or working machine remains physically honest; open frames remain open; no thin or decorative clutter,"Create exactly one low-poly medieval-fantasy forge hearth and blower assembly donor for Genesis. Variant: compact field forge. Functional purpose: Major working prop with warm-light socket, fuel area, hood, bellows connection, and tool sockets. Match the supplied reference image exactly and preserve the main defensive or industrial silhouette, thick frame, major barrier or working volumes, and large separable fittings; for this row, specifically the compact field forge. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact collision and cover, hinges, force state, fuel, light, materials, tools, damage, sockets, and interaction authority. Exactly one coherent object or intentionally fused cluster."
0,C0,accepted,M068-A,M068,A,light,Wall flame sconce,iron basket sconce,Grounded dungeon and institutional wall light replacing the abstract bulb while preserving the approved torch behavior.,600,reference-images/M068-A-wall-flame-sconce-v1.png,incoming/M068-A-wall-flame-sconce-smart-600.glb,processed/M068-A-wall-flame-sconce-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the iron basket sconce","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy wall flame sconce donor for Genesis. Variant: iron basket sconce. Functional purpose: Grounded dungeon and institutional wall light replacing the abstract bulb while preserving the approved torch behavior. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the iron basket sconce. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M005-A,M005,A,natural,Wide cave mouth with reveal,arched karst mouth,"A readable entrance large enough for ordinary encounters, with enough depth to avoid a flat painted hole.",1200,reference-images/M005-A-wide-cave-mouth-with-reveal-v1.png,incoming/M005-A-wide-cave-mouth-with-reveal-smart-1200.glb,processed/M005-A-wide-cave-mouth-with-reveal-clean-v1.glb,"the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the arched karst mouth","exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding","tiny stones, gravel, roots, crystals, supports, water, decals, and any exact terrain interface that is cheaper or safer procedurally",the silhouette must beat routine procedural placement; real openings remain open; no accidental stairs or noisy micro-fracture,"Create exactly one low-poly medieval-fantasy wide cave mouth with reveal donor for Genesis. Variant: arched karst mouth. Functional purpose: A readable entrance large enough for ordinary encounters, with enough depth to avoid a flat painted hole. Match the supplied reference image exactly and preserve the authored natural silhouette, its few major masses, real openings, ledges, and construction-scale fracture or growth planes; for this row, specifically the arched karst mouth. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: exact terrain hole, elevation authority, walkability, collision, cover, materials, mineral color, moisture, decals, contents, light, and procedural embedding. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M025-A,M025,A,mechanism,Hand windlass and winch,horizontal hand windlass,"Universal rotating drum for wells, gates, shafts, bridges, cages, and workshop lifting.",1200,reference-images/M025-A-hand-windlass-and-winch-v1.png,incoming/M025-A-hand-windlass-and-winch-smart-1200.glb,processed/M025-A-hand-windlass-and-winch-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the horizontal hand windlass","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy hand windlass and winch donor for Genesis. Variant: horizontal hand windlass. Functional purpose: Universal rotating drum for wells, gates, shafts, bridges, cages, and workshop lifting. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the horizontal hand windlass. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M047-A,M047,A,civic,Market-stall chassis,narrow street stall,"Counter, posts, shelf sockets, and canopy attachment points without permanent goods.",1000,reference-images/M047-A-market-stall-chassis-v1.png,incoming/M047-A-market-stall-chassis-smart-1000.glb,processed/M047-A-market-stall-chassis-clean-v1.glb,"the civic or ritual landmark silhouette, major support volumes, real openings, and replaceable center or working components; for this row, specifically the narrow street stall","water, posters, text, offerings, contents, sockets, collision, materials, authority marks, animation, and cultural state","liquid, paper, text, tiny offerings, fasteners, handles, cords, and standardized sockets",the object reads as an institution or working surface without modeled clutter; empty sockets and openings remain usable,"Create exactly one low-poly medieval-fantasy market-stall chassis donor for Genesis. Variant: narrow street stall. Functional purpose: Counter, posts, shelf sockets, and canopy attachment points without permanent goods. Match the supplied reference image exactly and preserve the civic or ritual landmark silhouette, major support volumes, real openings, and replaceable center or working components; for this row, specifically the narrow street stall. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: water, posters, text, offerings, contents, sockets, collision, materials, authority marks, animation, and cultural state. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M069-A,M069,A,light,Freestanding brazier basket,low round brazier,"Movable warm pool for courts, guard decks, camps, streets, rituals, and workshops.",600,reference-images/M069-A-freestanding-brazier-basket-v1.png,incoming/M069-A-freestanding-brazier-basket-smart-600.glb,processed/M069-A-freestanding-brazier-basket-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the low round brazier","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy freestanding brazier basket donor for Genesis. Variant: low round brazier. Functional purpose: Movable warm pool for courts, guard decks, camps, streets, rituals, and workshops. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the low round brazier. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M070-A,M070,A,light,Hanging lantern,iron cage lantern,"Ceiling, beam, hook, and wagon-compatible enclosed warm light with a distinct glowing material volume.",600,reference-images/M070-A-hanging-lantern-v1.png,incoming/M070-A-hanging-lantern-smart-600.glb,processed/M070-A-hanging-lantern-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the iron cage lantern","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy hanging lantern donor for Genesis. Variant: iron cage lantern. Functional purpose: Ceiling, beam, hook, and wagon-compatible enclosed warm light with a distinct glowing material volume. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the iron cage lantern. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
