game,version,mapName,chapterOrId,sourceUrls,sourceType,captureView,nativeOrRescaled,playableWidthCells,playableHeightCells,traversableCellEstimate,framePlayableAreaPct,frameScenicContextPct,spawnToFirstDecisionCells,longestMandatoryApproachCells,likelyBacktrackCells,elevationBandCount,maxConsequentialElevationDelta,majorRouteCount,alternateRouteCount,shortLoopCount,chokepointCount,reachableHighGroundCount,sceneryOnlyHighMassCount,majorSilhouetteMassCount,broadMaterialFamilyCount,dominantTexelFrequencyEstimate,practicalLightCount,foregroundLayerPresent,midgroundLayerPresent,farFieldPresent,cameraRotationRange,cameraZoomRange,spriteDirectionEvidence,dynamicStateEvidence,notes,confidence
FFT,PSX/PSP original (five-angle render corpus),Mandalia Plains,MAP085,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",12 rendered / 13 data-grid,13,120-140 (visual; envelope 156),100 (non-void share of top-down envelope; includes in-grid water/rock),0 (void beyond composed edge),3-4,16-18,0-2,2,"2-3h (FFT h-units, visual est)",2,1,1,0,3,6,3,3,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),no road; negative space implies routes; rocks cluster at edges/corners; FFHacktics data grid 1 col wider than rendered extent (unrendered edge col) — both recorded,high
FFT,PSX/PSP original (five-angle render corpus),Grog Hill,MAP081,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",11,13,95-110 (visual; envelope 143),100 (non-void share of top-down envelope; includes in-grid water/rock),0 (void beyond composed edge),2-3,18-20,2-4,4,"5-6h (FFT h-units, visual est)",1,1,1,2,4,4,3,4,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),through-road organizing spine; asymmetric shoulders; corner void bites,high
FFT,PSX/PSP original (five-angle render corpus),Sweegy Woods,MAP074,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",11,12,100-115 (visual; envelope 132),100 (non-void share of top-down envelope; includes in-grid water/rock),0 (void beyond composed edge),3-4,14-16,0-2,2,"3h (FFT h-units, visual est)",1,1,0,1,2,5,2,4,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),one wooded hill mass; pines as scenery verticals,high
FFT,PSX/PSP original (five-angle render corpus),Zirekile Falls,MAP083,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",11,10,55-70 (visual; envelope 110),99 (non-void share of top-down envelope; includes in-grid water/rock),1 (void beyond composed edge),2-3,14-16,3-5,3,"4h (FFT h-units, visual est)",1,0,0,1,2,2,3,3,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),bridge chokepoint over waterfall gap; banks flank; famous escort fight,high
FFT,PSX/PSP original (five-angle render corpus),Fort Zeakden,MAP049,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",9,13,70-85 (visual; envelope 117),100 (non-void share of top-down envelope; includes in-grid water/rock),0 (void beyond composed edge),3-4,16-18,2-4,4,"7-8h (FFT h-units, visual est)",1,1,1,2,4,2,3,3,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),1-2,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),snow field + compact fort; timber bridge circuit between towers,high
FFT,PSX/PSP original (five-angle render corpus),Dorter Trade City,MAP031,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",9,11,60-75 (visual; envelope 99),100 (non-void share of top-down envelope; includes in-grid water/rock),0 (void beyond composed edge),2-3,12-14,1-3,4,"6-7h (FFT h-units, visual est)",1,2,1,1,5,2,4,5,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0-2,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),street slope + reachable roof band; buildings occupy over half the envelope,high
FFT,PSX/PSP original (five-angle render corpus),At Main Gate of Igros Castle,MAP001,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",10,13,80-95 (visual; envelope 130),100 (non-void share of top-down envelope; includes in-grid water/rock),0 (void beyond composed edge),3-4,14-16,2-4,3,"6h (FFT h-units, visual est)",1,0,0,2,3,2,3,4,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),approach->moat crossing->apron->gate sequence; wall-walk high band,high
FFT,PSX/PSP original (five-angle render corpus),Orbonne Monastery,MAP056,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",10,14,85-100 (visual; envelope 140),99 (non-void share of top-down envelope; includes in-grid water/rock),1 (void beyond composed edge),2-3,14-16,1-3,3,"4-5h (FFT h-units, visual est)",1,1,0,1,3,2,3,4,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),lawn slope + terrace + platform; church tower is scenery mass,high
FFT,PSX/PSP original (five-angle render corpus),Goug Machine City,MAP038,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",8,11,50-65 (visual; envelope 88),99 (non-void share of top-down envelope; includes in-grid water/rock),1 (void beyond composed edge),2-3,12-14,1-3,4,"7-8h (FFT h-units, visual est)",1,1,1,1,5,2,3,4,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),street gully below dense machine-city roof bands; roofs playable,high
FFT,PSX/PSP original (five-angle render corpus),Underground Book Storage Fifth Floor,MAP061,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",12,15,120-140 (visual; envelope 180),97 (non-void share of top-down envelope; includes in-grid water/rock),3 (void beyond composed edge),3-4,18-20,2-4,2,"2-3h (FFT h-units, visual est)",1,1,1,1,1,4,3,3,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),2-4,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),interior; shelf masses as walls; floor breach void; quiet control-adjacent,medium
